name,id,nametype,recclass,fall,year,reclat,reclong,mass (Kg)
Guin,11445,Valid,UN,Found,1969,33.96667,-87.91667,34.5
Roosevelt County 083,22738,Valid,OC,Found,1969,33.66667,-103.41667,0.0148
Yamato 699,24366,Valid,OC,Found,1969,-71.5,35.66667,0.01
Benjamin,5020,Valid,OC,Found,1969,33.58333,-99.8,51.8
Yamato 698,24365,Valid,OC,Found,1969,-71.5,35.66667,0.01
Roosevelt County 081,22736,Valid,OC,Found,1969,33.63333,-103.16667,0.5222
Roosevelt County 040,22695,Valid,OC,Found,1969,34.08333,-103.5,0.0711
Yamato 691,24358,Valid,EC,Found,1969,-71.84861,36.51944,0.715
Yamato 692,24359,Valid,AA,Found,1969,-71.5,35.66667,0.138
Menindee Lakes 006,15484,Valid,OC,Found,1969,-32.91667,141.88333,0.0682
Roosevelt County 041,22696,Valid,OC,Found,1969,34.08333,-103.5,0.0324
Bovedy,5121,Valid,OC,Fell,1969,54.56667,-6.33333,5.46
Roosevelt County 042,22697,Valid,OC,Found,1969,34.08333,-103.51667,0.032600000000000004
Menindee Lakes 005,15483,Valid,OC,Found,1969,-32.91667,141.88333,0.0729
Menindee Lakes 002,15480,Valid,OC,Found,1969,-32.91667,141.88333,0.27
Menindee Lakes 004,15482,Valid,OC,Found,1969,-33.13333,141.71667,0.1585
Yamato 693,24360,Valid,CC,Found,1969,-71.5,35.66667,0.15
Tulia (iron),24070,Valid,UN,Found,1969,34.555,-101.63,0.19
